src_id,dst_id,weight,shared_controller_cnt
2313,1038,1.0,1
2313,1192,1.0,1
2313,1201,1.0,1
2313,1272,1.0,1
2313,2192,1.0,1
2313,2208,1.0,1
2313,2212,1.0,1
2313,2228,1.0,1
2313,2241,1.0,1
2313,2289,1.0,1
2313,2297,1.0,1
2313,2308,1.0,1
2313,2315,1.0,1
2313,2348,1.0,1
2313,2353,1.0,1
2313,2467,1.0,1
2313,2469,1.0,1
2315,96,1.0,1
2315,136,1.0,1
2315,169,1.0,1
2315,183,1.0,1
2315,187,1.0,1
2315,191,1.0,1
2315,820,1.0,1
2315,852,1.0,1
2315,861,1.0,1
2315,887,1.0,1
2315,959,1.0,1
2315,1038,1.0,1
2315,1192,1.0,1
2315,1201,1.0,1
2315,1272,1.0,1
2315,2192,1.0,1
2315,2208,1.0,1
2315,2212,1.0,1
2315,2228,1.0,1
2315,2241,1.0,1
2315,2289,1.0,1
2315,2297,1.0,1
2315,2308,1.0,1
2315,2313,1.0,1
2315,2348,1.0,1
2315,2353,1.0,1
2315,2467,1.0,1
2315,2469,1.0,1
2319,0,1.0,1
2319,2332,1.0,1
2332,0,1.0,1
2332,2319,1.0,1
2341,1273,1.0,1
2348,96,1.0,1
2348,136,1.0,1
2348,169,1.0,1
2348,183,1.0,1
2348,187,1.0,1
2348,191,1.0,1
2348,820,1.0,1
2348,852,1.0,1
2348,861,1.0,1
2348,887,1.0,1
2348,959,1.0,1
2348,1038,1.0,1
2348,1192,1.0,1
2348,1201,1.0,1
2348,1272,1.0,1
2348,2192,1.0,1
2348,2208,1.0,1
2348,2212,1.0,1
2348,2228,1.0,1
2348,2241,1.0,1
2348,2289,1.0,1
2348,2297,1.0,1
2348,2308,1.0,1
2348,2313,1.0,1
2348,2315,1.0,1
2348,2353,1.0,1
2348,2467,1.0,1
2348,2469,1.0,1
2351,973,1.0,1
2353,96,1.0,1
2353,136,1.0,1
2353,169,1.0,1
2353,183,1.0,1
2353,187,1.0,1
2353,191,1.0,1
2353,820,1.0,1
2353,852,1.0,1
2353,861,1.0,1
2353,887,1.0,1
2353,959,1.0,1
2353,1038,1.0,1
2353,1192,1.0,1
2353,1201,1.0,1
2353,1272,1.0,1
2353,2192,1.0,1
2353,2208,1.0,1
2353,2212,1.0,1
2353,2228,1.0,1
2353,2241,1.0,1
2353,2289,1.0,1
2353,2297,1.0,1
2353,2308,1.0,1
2353,2313,1.0,1
2353,2315,1.0,1
2353,2348,1.0,1
2353,2467,1.0,1
2353,2469,1.0,1
2355,2207,1.0,1
2355,2382,1.0,1
2382,2207,1.0,1
2382,2355,1.0,1
2419,2213,1.0,1
2445,2156,1.0,1
2445,2224,1.0,1
2467,96,1.0,1
2467,136,1.0,1
2467,169,1.0,1
2467,183,1.0,1
