src_stkcd,dst_stkcd,dst_name,event_date,EndDate,ActualGuaranteeAmount,GuaranteeTypeID,CurrencyCode,is_listed_target,year
002564,601727,上海电气集团股份有限公司,2020-01-21,2022-01-22,6400.0,P7930,CNY,True,2020
002564,601727,上海电气集团股份有限公司,2021-06-21,2023-06-14,7400.0,P7930,CNY,True,2021
002564,601727,上海电气集团股份有限公司,2021-05-24,2021-07-14,9600.0,P7930,CNY,True,2021
002564,601727,上海电气集团股份有限公司,2021-07-14,2022-07-13,9600.0,P7930,CNY,True,2021
002564,601727,上海电气集团股份有限公司,2021-12-15,2023-12-15,9600.0,P7930,CNY,True,2021
002564,601727,上海电气集团股份有限公司,2019-12-06,2031-11-28,10000.0,P7930,CNY,True,2019
002564,601727,上海电气集团股份有限公司,2021-04-22,2024-04-22,10240.0,P7930,CNY,True,2021
002564,601727,上海电气集团股份有限公司,2021-01-14,2023-01-14,12000.0,P7930,CNY,True,2021
002564,601727,上海电气集团股份有限公司,2021-05-24,2022-05-24,12800.0,P7930,CNY,True,2021
002564,601727,上海电气集团股份有限公司,2020-08-20,2022-08-19,14080.0,P7930,CNY,True,2020
002564,601727,上海电气集团股份有限公司,2020-04-27,2021-04-27,15360.0,P7930,CNY,True,2020
002564,601727,上海电气集团股份有限公司,2021-04-21,2021-12-01,15360.0,P7930,CNY,True,2021
002564,601727,上海电气集团股份有限公司,2021-10-29,2022-10-29,15744.0,P7930,CNY,True,2021
002564,601727,上海电气集团股份有限公司,2020-05-12,2021-05-11,16000.0,P7930,CNY,True,2020
002564,601727,上海电气集团股份有限公司,2019-12-16,2021-12-15,16000.0,P7930,CNY,True,2019
002564,601727,上海电气集团股份有限公司,2021-12-27,2023-12-26,16000.0,P7930,CNY,True,2021
002564,601727,上海电气集团股份有限公司,2021-12-01,2023-11-30,16000.0,P7930,CNY,True,2021
002564,601727,上海电气集团股份有限公司,2019-10-31,2021-10-31,16000.0,P7930,CNY,True,2019
002564,601727,上海电气集团股份有限公司,2020-12-18,2021-12-18,22200.0,P7930,CNY,True,2020
002564,601727,上海电气集团股份有限公司,2020-04-22,2021-04-06,32000.0,P7930,CNY,True,2020
002564,601727,上海电气集团股份有限公司,2019-12-20,2023-06-17,40000.0,P7930,CNY,True,2019
002564,601727,上海电气集团股份有限公司,2019-09-05,2022-09-05,96000.0,P7930,CNY,True,2019
002564,601727,上海电气集团股份有限公司,2022-03-16,2023-03-16,1312.0,P7930,CNY,True,2022
002564,601727,上海电气集团股份有限公司,2022-01-24,2023-01-23,4128.0,P7930,CNY,True,2022
002564,601727,上海电气集团股份有限公司,2021-02-23,2023-02-22,4800.0,P7930,CNY,True,2021
002564,601727,上海电气集团股份有限公司,2021-04-02,2022-03-16,5440.0,P7930,CNY,True,2021
002564,601727,上海电气集团股份有限公司,2021-12-15,2022-12-15,5945.6,P7930,CNY,True,2021
002564,601727,上海电气集团股份有限公司,2021-08-02,2022-07-28,6048.0,P7930,CNY,True,2021
002564,601727,上海电气集团股份有限公司,2021-03-31,2023-03-31,6400.0,P7930,CNY,True,2021
002564,601727,上海电气集团股份有限公司,2021-07-30,2022-07-27,6400.0,P7930,CNY,True,2021
002564,601727,上海电气集团股份有限公司,2022-01-25,2023-01-24,6400.0,P7930,CNY,True,2022
002564,601727,上海电气集团股份有限公司,2022-01-21,2022-06-01,6400.0,P7930,CNY,True,2022
002564,601727,上海电气集团股份有限公司,2022-04-29,2023-04-29,6400.0,P7930,CNY,True,2022
002564,601727,上海电气集团股份有限公司,2022-05-23,2023-05-22,6400.0,P7930,CNY,True,2022
002564,601727,上海电气集团股份有限公司,2020-01-21,2022-01-22,6400.0,P7930,CNY,True,2020
002564,601727,上海电气集团股份有限公司,2020-04-30,2022-04-29,6400.0,P7930,CNY,True,2020
002564,601727,上海电气集团股份有限公司,2021-06-21,2023-06-14,7400.0,P7930,CNY,True,2021
002564,601727,上海电气集团股份有限公司,2021-07-14,2022-07-08,9600.0,P7930,CNY,True,2021
002564,601727,上海电气集团股份有限公司,2021-12-15,2023-12-15,9600.0,P7930,CNY,True,2021
002564,601727,上海电气集团股份有限公司,2019-12-06,2031-11-28,10000.0,P7930,CNY,True,2019
002564,601727,上海电气集团股份有限公司,2021-04-22,2024-04-22,10240.0,P7930,CNY,True,2021
002564,601727,上海电气集团股份有限公司,2021-09-02,2024-06-14,10400.0,P7930,CNY,True,2021
002564,601727,上海电气集团股份有限公司,2021-01-14,2023-01-13,12000.0,P7930,CNY,True,2021
002564,601727,上海电气集团股份有限公司,2021-05-24,2022-05-24,12800.0,P7930,CNY,True,2021
002564,601727,上海电气集团股份有限公司,2022-05-24,2022-09-01,12800.0,P7930,CNY,True,2022
002564,601727,上海电气集团股份有限公司,2022-06-01,2024-05-31,12800.0,P7930,CNY,True,2022
002564,601727,上海电气集团股份有限公司,2020-08-20,2022-08-19,14080.0,P7930,CNY,True,2020
002564,601727,上海电气集团股份有限公司,2021-10-29,2022-06-01,15744.0,P7930,CNY,True,2021
002564,601727,上海电气集团股份有限公司,2021-12-27,2023-12-26,16000.0,P7930,CNY,True,2021
002564,601727,上海电气集团股份有限公司,2021-12-01,2023-11-30,16000.0,P7930,CNY,True,2021
002564,601727,上海电气集团股份有限公司,2022-06-16,2022-09-01,19200.0,P7930,CNY,True,2022
002564,601727,上海电气集团股份有限公司,2021-10-27,2023-10-27,21200.0,P7930,CNY,True,2021
002564,601727,上海电气集团股份有限公司,2021-10-26,2022-10-26,22200.0,P7930,CNY,True,2021
002564,601727,上海电气集团股份有限公司,2019-12-20,2023-06-17,40000.0,P7930,CNY,True,2019
002564,601727,上海电气集团股份有限公司,2019-09-05,2022-09-05,96000.0,P7930,CNY,True,2019
002564,601727,上海电气集团股份有限公司,2021-06-21,2023-06-14,7400.0,P7930,CNY,True,2021
002564,601727,上海电气集团股份有限公司,2019-12-06,2031-11-28,10000.0,P7930,CNY,True,2019
002564,601727,上海电气集团股份有限公司,2021-09-02,2024-06-14,10400.0,P7930,CNY,True,2021
002564,601727,上海电气集团股份有限公司,2021-01-14,2023-01-13,12000.0,P7930,CNY,True,2021
002564,601727,上海电气集团股份有限公司,2021-10-27,2023-10-27,21200.0,P7930,CNY,True,2021
002564,601727,上海电气集团股份有限公司,2019-12-20,2023-06-13,40000.0,P7930,CNY,True,2019
002597,001217,安徽华尔泰化工股份有限公司,2012-10-25,,,P7912,CNY,True,2012
002597,001217,安徽华尔泰化工股份有限公司,2012-10-25,,,P7912,CNY,True,2012
002597,001217,安徽华尔泰化工股份有限公司,2012-10-25,,,P7912,CNY,True,2012
002597,001217,安徽华尔泰化工股份有限公司,2013-04-23,,3000.0,P7912,CNY,True,2013
002597,001217,安徽华尔泰化工股份有限公司,2013-07-30,,,P7910,CNY,True,2013
